Temperature,Light
22.1,764.0
22.6,766.0
22.5,765.0
22.6,766.0
22.5,766.0
23.1,766.0
23.0,766.0
23.2,765.0
22.9,767.0
23.4,766.0
22.7,698.0
22.4,445.0
22.1,764.0
21.9,431.0
21.8,161.0
21.6,31.0
21.4,7.0
21.3,6.0
21.2,5.0
20.7,3.0
20.3,5.0
19.9,6.0
19.7,5.0
19.5,7.0
19.3,4.0
19.2,5.0
19.1,6.0
19.0,6.0
18.9,5.0
18.9,5.0
18.9,5.0
18.8,5.0
18.9,3.0
18.8,7.0
18.9,5.0
18.9,5.0
18.9,7.0
18.9,5.0
18.9,5.0
18.8,7.0
18.9,7.0
18.9,7.0
18.9,7.0
19.1,454.0
19.2,614.0
20.2,764.0
21.4,764.0
21.9,765.0
21.8,764.0
22.4,764.0
22.6,764.0
22.9,765.0
21.9,764.0
22.7,764.0
22.7,764.0
23.8,764.0
22.2,764.0
22.9,764.0
23.1,766.0
23.6,767.0
23.9,766.0
23.9,765.0
24.1,748.0
24.5,766.0
27.2,766.0
28.7,767.0
29.2,767.0
29.5,766.0
29.6,767.0
28.5,766.0
28.6,766.0
27.7,766.0
26.7,766.0
26.1,766.0
25.9,766.0
25.6,765.0
25.3,766.0
25.1,765.0
25.0,744.0
24.9,689.0
24.7,688.0
24.6,614.0
24.4,479.0
24.4,419.0
24.3,354.0
24.3,301.0
24.1,284.0
24.2,295.0
24.1,201.0
24.1,99.0
24.1,42.0
24.1,139.0
24.0,123.0
24.1,115.0
24.0,0.0
23.9,0.0
23.8,0.0
23.7,0.0
23.6,1.0
23.8,0.0
23.5,0.0
23.4,0.0
23.0,0.0
22.8,0.0
23.0,1.0
22.7,0.0
22.7,0.0
22.7,0.0
22.5,0.0
22.4,0.0
22.4,1.0
22.3,0.0
22.2,0.0
21.9,0.0
22.0,0.0
22.0,0.0
21.8,0.0
21.7,0.0
21.9,0.0
21.9,0.0
21.7,1.0
21.6,0.0
